iter	RMSE
0	56.06395392
1	53.68165103
2	51.27441737
3	48.99015949
4	46.85207026
5	44.89325569
6	42.93084537
7	41.05615485
8	39.30418525
9	37.67696582
10	36.1335161
11	34.60984459
12	33.13447884
13	31.84017229
14	30.52573053
15	29.24043288
16	27.99678829
17	26.85264556
18	25.74012337
19	24.71118261
20	23.75944026
21	22.82612356
22	21.99990253
23	21.16816973
24	20.38677726
25	19.58330517
26	18.82937151
27	18.19343264
28	17.50714157
29	16.85601577
30	16.21424191
31	15.62600842
32	15.12158737
33	14.59255161
34	14.12328671
35	13.64072993
36	13.18382083
37	12.76888643
38	12.38456866
39	11.98339968
40	11.62349766
41	11.29536067
42	10.97962283
43	10.66248765
44	10.38240578
45	10.10274837
46	9.822003695
47	9.589275948
48	9.353670919
49	9.129069897
50	8.927098874
51	8.751059803
52	8.57263107
53	8.389824352
54	8.218806275
55	8.050815694
56	7.885972251
57	7.747767455
58	7.615465009
59	7.479352064
60	7.362669297
61	7.240824271
62	7.15049465
63	7.048018795
64	6.947687829
65	6.838497922
66	6.758258556
67	6.666361537
68	6.579392131
69	6.500001386
70	6.419571126
71	6.36048006
72	6.295968804
73	6.207107443
74	6.121368444
75	6.063913035
76	6.007605901
77	5.951265548
78	5.899131937
79	5.846595398
80	5.783602687
81	5.713511355
82	5.663576799
83	5.625997067
84	5.585160034
85	5.540709823
86	5.500573549
87	5.472688679
88	5.427820416
89	5.394819529
90	5.345208177
91	5.297221518
92	5.263699995
93	5.237789693
94	5.216937827
95	5.186084431
96	5.159717816
97	5.124116431
98	5.105138097
99	5.07955706
100	5.044294843
101	5.02912039
102	4.985659946
103	4.953709425
104	4.916044974
105	4.880551252
106	4.850714844
107	4.833144489
108	4.810287365
109	4.786145443
110	4.772234377
111	4.755980629
112	4.731110396
113	4.712082103
114	4.682041756
115	4.654811492
116	4.638517397
117	4.624623019
118	4.602250137
119	4.578484866
120	4.563315791
121	4.534703019
122	4.523242047
123	4.512322271
124	4.497977681
125	4.484331928
126	4.46434125
127	4.456000972
128	4.422519308
129	4.419271244
130	4.408955162
131	4.387885278
132	4.365951766
133	4.353957898
134	4.349285081
135	4.319882344
136	4.304856617
137	4.295659877
138	4.280279253
139	4.267784731
140	4.253396592
141	4.242799308
142	4.232726484
143	4.20712864
144	4.194250142
145	4.184545741
146	4.171929959
147	4.159611968
148	4.148136295
149	4.128329155
150	4.118759648
151	4.113626905
152	4.091552893
153	4.066569255
154	4.0629195
155	4.052458914
156	4.042632645
157	4.02803822
158	4.017988695
159	4.005004877
160	3.974182278
161	3.964085369
162	3.956289455
163	3.954199255
164	3.934203703
165	3.913463051
166	3.908150632
167	3.899847137
168	3.88100199
169	3.857350186
170	3.848360112
171	3.834765612
172	3.827672204
173	3.824756896
174	3.817169469
175	3.806042501
176	3.803832348
177	3.797613773
178	3.788312362
179	3.773769814
180	3.764466102
181	3.75406079
182	3.740317186
183	3.728186555
184	3.722106034
185	3.710593645
186	3.704859405
187	3.703103135
188	3.694778451
189	3.676473357
190	3.661994539
191	3.653880338
192	3.644657675
193	3.631597
194	3.626003582
195	3.623922714
196	3.607232241
197	3.599324173
198	3.58883809
199	3.579542563
