iter	Passed	Remaining
0	13	2592
1	23	2375
2	36	2366
3	46	2290
4	56	2212
5	68	2227
6	80	2225
7	92	2212
8	103	2197
9	114	2184
10	126	2169
11	136	2144
12	150	2163
13	161	2148
14	172	2124
15	184	2118
16	196	2117
17	210	2127
18	222	2121
19	234	2112
20	245	2091
21	257	2080
22	269	2076
23	283	2078
24	293	2055
25	304	2039
26	315	2020
27	327	2009
28	339	1999
29	349	1979
30	359	1961
31	370	1943
32	380	1926
33	391	1913
34	402	1898
35	413	1884
36	424	1872
37	437	1863
38	448	1851
39	460	1842
40	471	1829
41	482	1814
42	493	1800
43	503	1783
44	514	1770
45	524	1757
46	535	1742
47	547	1732
48	557	1717
49	567	1703
50	578	1690
51	590	1680
52	601	1669
53	612	1656
54	624	1645
55	634	1632
56	645	1620
57	657	1609
58	670	1602
59	682	1593
60	695	1583
61	707	1574
62	718	1562
63	730	1552
64	742	1541
65	753	1529
66	766	1520
67	777	1508
68	788	1497
69	800	1487
70	812	1476
71	823	1463
72	833	1450
73	844	1437
74	855	1426
75	866	1413
76	877	1401
77	888	1389
78	899	1377
79	910	1365
80	921	1353
81	932	1341
82	943	1330
83	954	1318
84	965	1306
85	978	1296
86	989	1285
87	1000	1273
88	1011	1261
89	1022	1250
90	1034	1239
91	1046	1227
92	1056	1215
93	1067	1204
94	1078	1191
95	1089	1179
96	1099	1167
97	1112	1157
98	1124	1146
99	1136	1136
100	1148	1126
101	1163	1117
102	1176	1107
103	1188	1096
104	1199	1085
105	1210	1073
106	1222	1062
107	1235	1052
108	1246	1040
109	1257	1029
110	1270	1018
111	1282	1007
112	1296	997
113	1309	987
114	1324	978
115	1337	968
116	1350	958
117	1363	947
118	1375	936
119	1387	925
120	1398	913
121	1410	901
122	1423	890
123	1434	879
124	1446	867
125	1457	855
126	1469	844
127	1481	833
128	1492	821
129	1503	809
130	1515	797
131	1527	786
132	1539	775
133	1550	763
134	1562	752
135	1574	740
136	1585	728
137	1596	717
138	1607	705
139	1619	694
140	1631	682
141	1642	671
142	1654	659
143	1667	648
144	1679	637
145	1691	625
146	1702	613
147	1714	602
148	1725	590
149	1736	578
150	1747	566
151	1758	555
152	1769	543
153	1780	531
154	1791	520
155	1802	508
156	1814	496
157	1824	485
158	1836	473
159	1847	461
160	1858	450
161	1869	438
162	1880	426
163	1892	415
164	1904	403
165	1917	392
166	1932	381
167	1945	370
168	1956	358
169	1967	347
170	1978	335
171	1990	324
172	2001	312
173	2013	300
174	2025	289
175	2037	277
176	2047	266
177	2059	254
178	2070	242
179	2081	231
180	2092	219
181	2103	208
182	2114	196
183	2127	185
184	2138	173
185	2150	161
186	2161	150
187	2174	138
188	2186	127
189	2197	115
190	2208	104
191	2218	92
192	2229	80
193	2240	69
194	2251	57
195	2262	46
196	2273	34
197	2283	23
198	2295	11
199	2307	0
